reporterDesc,partnerDesc,primaryValue
Poland,USA,137693
Poland,Ukraine,16462
Poland,United Kingdom,19411
South Africa,Belgium,49580.034
South Africa,China,380211871.6
South Africa,Denmark,82166599.87
South Africa,France,2500.993
South Africa,Germany,3762641.667
South Africa,Netherlands,643865.047
South Africa,Norway,151312.325
South Africa,"Other Asia, nes",3695.952
South Africa,Others,100104956
South Africa,Poland,1687870.518
South Africa,South Africa,1706.445
South Africa,Spain,293635869.1
South Africa,Sweden,580911.526
South Africa,Türkiye,140165.456
South Africa,USA,1430436.2
South Africa,United Kingdom,11275260.35
Spain,Australia,1871.048
Spain,Belgium,4193.753
Spain,Canada,19753.686
Spain,Chile,2160.338
Spain,China,101929887.9
Spain,Denmark,57670200
Spain,France,404202.8
Spain,Germany,210383968.6
Spain,Japan,126790.96
Spain,Mexico,759418.43
Spain,Netherlands,913768.167
Spain,"Other Asia, nes",89066.526
Spain,Others,85068190.5
Spain,Poland,17344.034
Spain,South Africa,352735.18
Spain,Türkiye,1785926.634
Spain,USA,941607.136
Spain,United Kingdom,156284.939
Sweden,Canada,2175.149
Sweden,China,325421389.7
Sweden,Denmark,181893555.3
Sweden,Germany,220048670.4
Sweden,Greece,971311.193
Sweden,Japan,50117.819
Sweden,Norway,28945.447
Sweden,"Other Asia, nes",15226.04
Sweden,Others,2923884.776
Sweden,Poland,593.222
Sweden,Spain,239474238.8
Sweden,Türkiye,67016.984
Sweden,USA,19041.482
Sweden,Ukraine,108.574
Sweden,United Kingdom,10799.958
Türkiye,Belgium,5675
Türkiye,Canada,522
Türkiye,China,174425308
Türkiye,Denmark,217716441
Türkiye,France,27165
Türkiye,Germany,1400748162
Türkiye,Greece,2376624
Türkiye,Japan,574
Türkiye,Mexico,520
Türkiye,Netherlands,14628405
Türkiye,Norway,8812496
Türkiye,"Other Asia, nes",4120
Türkiye,Others,29968645
Türkiye,Poland,7526765
Türkiye,Spain,66183781
Türkiye,Sweden,754400
Türkiye,USA,215081
Türkiye,Ukraine,508
Türkiye,United Kingdom,20628
USA,Australia,160334
USA,Belgium,1025813
USA,Canada,5817851
USA,China,455268984
USA,Denmark,10893738
USA,France,439874
USA,Germany,272217636
USA,Japan,1742095
USA,Mexico,7775778
USA,Netherlands,249179
USA,"Other Asia, nes",122422
USA,Others,250777953
USA,Poland,144560
USA,South Africa,4733
USA,Spain,449368225
USA,Sweden,8086
USA,Türkiye,279409
USA,United Kingdom,1298035
Ukraine,Belgium,44964394.27
Ukraine,China,171597660.9
Ukraine,Denmark,82524051.38
Ukraine,Germany,298656673.6
Ukraine,Netherlands,15667494.99
Ukraine,Norway,2391168.7
Ukraine,Others,67393772.02
Ukraine,Poland,9619397.61
Ukraine,Spain,128872503.7
Ukraine,Sweden,2565037.19
Ukraine,Türkiye,112089509.5
Ukraine,USA,9361.2
Ukraine,United Kingdom,1281
United Kingdom,Australia,2433.127
United Kingdom,Belgium,14792.253
United Kingdom,Canada,277538.539
United Kingdom,China,111391375.8
United Kingdom,Denmark,2355140092
United Kingdom,France,295530007.1
United Kingdom,Germany,1010371455
United Kingdom,Greece,104332.904
United Kingdom,Netherlands,2989981.916
United Kingdom,"Other Asia, nes",31479.812
United Kingdom,Others,34211487.32
United Kingdom,Poland,338256.812
United Kingdom,Spain,57356600.83
United Kingdom,Sweden,1298.061
United Kingdom,Türkiye,6394897.569
United Kingdom,USA,7615913.213
United Kingdom,United Kingdom,76993.469
Viet Nam,Belgium,220894
Viet Nam,China,2785822513
Viet Nam,Denmark,6368138.79
Viet Nam,Germany,356116598.8
Viet Nam,Japan,18837
Viet Nam,Netherlands,22150953.71
Viet Nam,Norway,3456930
Viet Nam,"Other Asia, nes",112260
Viet Nam,Others,144070775.4
Viet Nam,Poland,86692821.35
Viet Nam,Spain,1844918.96
Viet Nam,Sweden,42396
Viet Nam,Türkiye,53838917.6
Viet Nam,Ukraine,5907
Viet Nam,United Kingdom,890977.926
